Unnamed: 0,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 60,region
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3410.53,3235.03,3200.8,2919.41,2264.53,1833.04,1765.48,1850.95,1870.2,1897.16,1927.16,2085.87,2140.0,2384.17,2695.66,2957.36,3293.76,3608.49,3827.89,3745.49,4116.23,4541.87,4929.54,5376.07,5367.83,5386.2,5375.68,5369.1,5579.22,,Europe and Central Asia
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2355.3,2617.15,2716.8,2757.45,2830.14,2905.85,3061.64,3217.56,3532.38,3810.14,4030.5,4071.68,4233.43,,Europe and Central Asia
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.72,517.17,426.51,445.48,400.18,465.16,459.81,431.21,436.44,452.96,561.84,599.85,644.02,761.42,773.51,867.65,732.63,744.47,805.15,881.27,933.89,941.95,913.56,889.6,929.57,946.75,,Europe and Central Asia
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358.08,3584.7,3814.44,3888.8,4053.88,4181.17,4453.46,4777.26,5210.26,5815.71,6476.83,7814.94,8683.85,8079.82,6885.05,7154.74,7553.55,7926.88,8466.08,8636.09,8927.76,9145.29,9513.37,9995.99,,Europe and Central Asia
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3198.05,3425.66,3644.88,3845.85,4065.68,4383.1,4603.54,4927.96,5529.77,6200.08,7033.14,7796.5,8869.42,9306.45,7777.48,7650.88,8165.5,8531.99,8997.57,9419.47,9895.49,10426.6,10939.3,11506.3,,Europe and Central Asia
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.63,697.1,768.98,814.37,750.32,906.86,964.34,1023.6,1216.39,1295.0,1476.01,1595.56,1656.84,1756.27,1616.05,1766.49,1930.48,1948.57,2073.68,2188.56,2136.86,2200.57,2318.67,2410.1,,Europe and Central Asia
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5066.81,5656.7,6276.55,5370.81,5467.99,5487.54,5268.82,5347.29,5494.83,5613.96,5913.6,6145.62,6428.02,,Europe and Central Asia
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.68,1959.98,1762.7,1928.44,2104.67,2027.0,2080.69,2134.31,2191.67,2255.97,2501.1,2239.64,2454.91,2559.56,2746.47,2938.88,3044.04,3272.11,3425.64,3309.67,3431.82,3245.15,3281.23,3339.41,3409.63,3558.03,3693.51,3717.01,3822.57,,Europe and Central Asia
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4009.62,4349.79,4665.99,4891.13,5161.17,5365.5,5474.61,5692.58,5786.82,6036.17,6146.05,6445.16,6812.97,7272.18,7528.04,7756.92,7996.87,8056.74,8087.78,8287.72,8541.48,8881.91,9278.93,9672.17,,Europe and Central Asia
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247.66,1999.95,1905.38,1931.7,2007.83,2248.32,2425.2,2320.52,2464.3,2364.63,2404.29,2641.32,2880.99,3145.02,3664.02,4100.56,4545.95,5252.2,5805.2,5481.98,5239.57,5339.18,5469.34,5497.73,5778.44,6151.75,6674.95,7386.54,7817.6,,Europe and Central Asia
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622.24,2496.03,2420.09,2451.92,2484.42,2414.21,2237.27,2348.91,2275.56,2217.47,2385.36,2617.62,2847.56,3075.11,3455.83,3871.92,4350.95,4975.4,5498.57,5214.99,5496.33,5859.67,6307.74,6618.64,6630.71,5999.31,5875.35,6063.2,6203.35,,Europe and Central Asia
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2086.23,2164.53,2438.59,2522.17,2222.61,2408.98,2561.34,2760.67,2918.99,3253.51,3550.68,3940.21,4260.06,4470.46,4338.29,4329.16,4425.07,4370.87,4318.11,4334.11,4340.44,4417.86,4527.4,4691.63,,Europe and Central Asia
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4896.12,4925.13,5175.68,5567.73,5765.92,6043.81,5998.26,6158.08,6496.32,6866.48,6932.34,7437.78,7772.75,8263.39,8910.93,9527.99,9498.79,9566.6,9371.16,9392.77,9271.93,9436.84,9688.45,10052.0,10470.4,10859.8,,Europe and Central Asia
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8076.24,7187.0,6935.49,7918.11,8246.17,8994.31,9247.63,9524.16,9822.42,10464.9,10420.7,10701.5,10943.9,11320.5,11600.2,11819.4,11933.8,12640.8,12982.9,13132.9,13203.1,13280.2,12962.1,12435.0,12624.5,12870.9,13422.0,13716.3,14178.8,,Europe and Central Asia
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.75,439.33,521.07,362.46,476.02,537.26,480.38,568.82,585.92,627.71,659.22,689.02,717.1,743.48,768.12,791.01,812.15,831.55,849.31,865.51,880.16,,,,,,,Europe and Central Asia
