Country	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	
East Asia and Pacific
Albania	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,877.26	1,549.57	1,475.89	1,529.85	1,635.04	1,716.45	1,845.02	2,044.17	2,128.52	2,276.21	2,448.85	2,781.57	3,086.85	3,129.94	3,198.07	3,263.48	3,273.09	3,339.33	3,440.48	3,491.86	3,572.12	3,662.27	3,793.91	n/a
Armenia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	911.51	1,020.09	1,078.30	1,177.74	1,243.94	1,261.20	1,373.35	1,481.32	1,612.80	1,739.10	1,904.75	2,091.44	2,282.44	2,606.89	2,770.31	2,664.46	2,776.07	2,843.46	3,093.42	3,130.37	3,163.58	2,913.01	2,842.73	3,231.02	3,377.94	3,764.50
Azerbaijan	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,158.11	852.07	615.34	592.48	642.24	711.77	803.05	893.15	1,078.48	1,036.73	1,156.92	1,214.52	1,332.18	1,598.15	2,155.61	2,516.81	2,626.81	2,737.21	2,299.88	2,812.78	2,836.72	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Belarus	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,101.86	1,032.63	973.92	924.15	795.85	705.37	745.47	830.02	944.46	1,034.71	1,119.93	1,320.51	1,475.66	1,592.91	1,754.58	2,025.27	2,296.59	2,615.60	3,053.29	3,060.11	3,355.06	3,435.44	3,806.07	4,210.82	4,387.15	4,278.56	4,136.90	4,332.06	4,682.20	4,905.90
Bosnia and Herzegovina	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3,760.43	4,031.37	4,045.16	3,892.69	3,928.28	3,969.55	4,005.38	4,078.04	4,227.33	4,359.84	4,510.43	4,605.87	4,752.94	4,916.59
Bulgaria	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,375.40	2,474.68	2,597.61	2,650.94	2,781.08	2,778.11	2,831.76	2,989.20	3,181.71	3,096.29	3,332.24	2,522.37	2,488.42	2,435.60	2,336.36	2,782.45	2,889.22	1,964.86	1,938.57	2,091.79	2,297.58	2,523.31	2,728.28	2,925.94	3,223.97	3,489.78	3,815.41	4,279.04	4,456.46	4,291.90	4,332.99	4,474.26	4,649.96	4,555.65	4,714.18	4,924.81	5,133.93	5,367.98	5,644.92	5,995.13
Croatia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5,253.09	5,424.71	6,097.47	6,024.25	5,872.89	6,200.25	6,779.59	7,420.25	7,762.97	8,114.18	8,474.84	8,581.88	9,015.11	9,288.35	8,475.30	8,365.15	8,483.34	8,307.54	8,205.04	8,036.36	8,132.35	8,445.79	8,814.85	9,191.26	9,561.19
Czech Republic	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6,827.46	5,377.39	5,845.22	5,911.78	6,156.79	6,442.86	6,931.30	7,142.31	7,120.49	7,355.65	7,488.63	7,742.78	7,997.73	8,409.59	8,648.81	8,945.84	9,256.36	9,583.46	9,788.93	9,687.43	9,790.28	9,808.47	9,688.99	9,773.87	9,900.96	10,263.80	10,631.60	11,032.20	11,378.00	11,682.60
Estonia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3,066.21	3,159.87	3,380.05	3,766.61	4,314.54	4,511.97	4,517.77	4,812.81	5,178.12	5,718.13	6,310.35	6,861.29	7,569.56	8,590.21	9,358.51	8,964.26	7,753.14	7,700.74	7,995.20	8,375.06	8,704.62	9,044.53	9,487.58	9,915.50	10,186.00	10,614.00	10,921.70
Georgia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,625.24	2,883.41	3,026.02	3,112.32	3,288.78	3,408.03	3,213.35	3,450.25	3,652.18	n/a
